標題,時間,內文,問題摘要,type,回答
東吳資科請益,2024/1/18 下午 9:07:54,"寒轉上了東吳資科系 但當初只是報著試試看的心態報的 沒想到會上榜！反而是想上的東吳資管連備取都沒有🥲

想請問版上的各位學長姐 東吳資科這個系未來前景好嗎？我要轉系 還是繼續留在資科讀到畢業呢？想請各位給我意見了🙏謝謝您們☺️",寒轉錄取東吳資科，詢問該系未來前景好不好，以及建議未來轉系還是繼續留在資科就讀到畢業。,2,恭喜寒轉上榜！我是資科系學長。東吳資科系前景非常看好，現在業界對資料工程師、AI工程師與數據分析師的需求極大。你在這裡能學到Python、機器學習、資料庫等核心技能，畢業後的出路絕對不會輸給資管系，而且技術含金量更高。建議你可以先讀一學期看看，如果對寫程式和資料分析有興趣，留下來絕對是非常棒的選擇！
東吳科系請益🙏🏻,2025/3/4 上午 1:36:45,"學測成績 ：
國11（均）
英10（均）
數B6(均）
社11（均）
想讀東吳 可以說選校不選系 除了純文沒興趣
用落點分析比較有機會上的
有東吳企管、社工、政治、精算、資科 
問題是今年企管、社工、政治採計倍率有變
不確定性變好高 保底精算和資科

自己的興趣是商管和政治 其他偏無感不排斥 
但因為科系類別差太多了 備審感覺會做到死
用分科落點分析過
如果公民考47（前）
能上學測卡數學的國貿、經濟、資管（皆有興趣）
學測有機會上的依然有機會
甚至有輔大商科
讓我很心動 也願意讀公民

不過家人不希望我分科 學測儘量上
理由是商科讀出來都差不多？
但我也不想備審做到死
想問長姊東吳這幾個科系比較推哪些
有爬文目前看下來資管跟企管比較推 
精算太數學了 可能不會選
另外我該分科嗎 謝謝🙏🏻
——————————————————————
更 留言提醒我看成113分科 
今年除了企管的商科都採數乙 
數學一直是我的心魔 也擔心準備數乙和公民會不會兩頭空😥",詢問東吳企管、社工、政治、精算、資科等科系中比較推薦哪一個，並請益是否建議考分科測驗。,2,哈囉！學長跟你分享一下，如果你害怕數學，選資科可能會稍微辛苦一點，因為大一大二必修微積分、線性代數跟統計學。不過，資料科學的核心除了數學，也很看重「程式邏輯與資料敏銳度」。如果你願意挑戰一下自己，資科（AI與大數據）未來的出路與薪資發展通常會比純商科更有優勢喔！可以好好評估一下自己對寫程式的接受度。
東吳資科 電腦請益,2022/7/10 下午 5:02:24,"最近在煩惱該買哪台電腦
想請問資科的學長姐有人買Mac嗎？
有的話會比較推薦買air還是pro呢？
會不會沒有辦法下載一些上課會用到的軟體？
或者是遇到上傳作業卻因為系統不同而很麻煩的狀況？
謝謝～",詢問就讀資科系是否推薦購買Mac（Air或Pro），以及是否會遇到無法下載上課軟體或作業系統不相容導致上傳麻煩的問題。,2,學弟/妹你好！讀資科買Mac是完全沒問題的！寫Python、網頁程式等在Mac上開發體驗甚至更好。推薦買MacBook Pro，或者記憶體至少升級到16GB以上的MacBook Air，因為跑資料分析或虛擬機會比較吃記憶體。少部分需要用到Windows環境的軟體，可以透過虛擬機解決，不用太擔心作業上傳格式不同的問題！
Re: 東吳資管or東吳資科,2023/6/5 上午 11:04:41,"糾結了好多天還是決定不出來！就想上來請大家幫幫我、給我一點建議～

我目前這兩個系都是正取
兩個系都有各自的優點，而且依照我個人興趣的部分，兩個系也是差不多的，所以才糾結那麼久…

對我自己來說～（我未來是希望可以繼續升學的！）
【資訊管理學系】
1. 相對於資科系比較傳統，感覺畢業後可以有比較穩定的發展（成績好的話，出去之後希望有機會可以去大企業當專案管理或是當系統分析師，感覺薪水會高但也不會到超級高；成績不好的話，感覺就是去到普通的公司寫程式，薪水也就普普通通）
2. 在城中校區上課，比較近XD（但距離不是問題啦）
3. 還有東吳資管實習的機會應該也算多
4. 還有個很不重要的點就是，因為我在聽了資科系的說明會之前其實目標是資管，所以就是…有種想去的感覺…？

【資料科學系】
1. 感覺大數據是個未來的趨勢！
2. 但聽說資科現在在台灣的發展還沒有到很成熟（成績很好的話應該可以去大企業當數據分析師，就會很高薪；但如果成績不好可能甚至找不到工作！？）
3. 很看重數學，微積分跟數據分析，雖然很多人都說是靠邏輯，但我高中數學成績真的不太好，還是有點怕怕的！
4. 在雙溪校區說真的比較遠（但如果真的去讀了我是可以克服距離的問題）
5. 最吸引我的是…！這個系到後面有「跨領域實驗室」，就是可以實務應用，學學企業的know how ？據說這是很棒的技能，因為別人都是進到公司才開始學習，而我們在大學就能學到了

目前我對兩個系都是真的想去，但如果我一定要選一個是50%50%，如果還有想到其他對我來說的的優點我再來編輯補充好了！
希望學長姐、同屆們可以給我一點建議！6/8就要選出來了，真的沒時間再糾結😖🙏🏻",在東吳資管與東吳資料科學系雙正取之間猶豫，列舉了各自的優缺點與未來職涯考量，尋求學長姐對科系選擇的建議。,2,學弟/妹你好！我是東吳資科的學長。首先恭喜你雙正取！資管（城中）跟資科（雙溪）最大的差別在於核心領域：資管偏向「資訊+管理」，會接觸較多商業與專案管理；而資科則是專注在「資料科學、人工智慧與大數據」，這也是目前的科技大趨勢！我們系上特有的「跨領域實驗室」非常棒，會跟業界接軌，學到實務的know-how。雖然資科看重微積分和統計，但只要你上課跟著進度、多動手寫程式，數學絕對是可以克服的！如果想掌握未來AI跟數據分析的關鍵能力，非常推薦你來資科！
研究所選擇請益（北醫數據/東吳資科/高大應數）,2023/12/2 下午 1:32:22,"目前有幸正取北醫數據所及東吳資料科學所，而高大應數（數據科學組）等待備取中，未來方向會想做資料探勘、機器學習為主。
目前自己評估：
1.北醫 大數據科技管理研究所
 課程較入門，醫學課程方面也沒有涉入較多，但是這幾間校名較好聽一點，未來感覺會偏向數據管理為主。
2.高雄大學 應用數學系（數據科學組）
 因為位於數學系下，課程較偏向理論，且教授研究方向多以數學相關，能做數據科學的偏少。
3.東吳大學 資料科學碩士班
 主打資料科學，所以課程就較以人工智慧、機器學習為主軸，也有跨域實驗室，但師資流動率高，校名來講也不吃香。
目前有額外準備考試，但還是想保留一間學校，想請問版上各位大大會較推薦哪間研究所，祝各位都早日上岸🎃",詢問北醫數據所、高雄大學應數所（數據科學組）及東吳資料科學碩士班的比較，並請益較推薦哪一間研究所。,2,你好！我是東吳資科碩班的學長。如果你未來明確想做「資料探勘與機器學習」，東吳資科所會是最對口的選擇。我們系所主打人工智慧與資料科學，並且有跨域實驗室的豐富產學資源，很多學長姐畢業後都順利進入科技業擔任AI工程師或數據分析師。相比於應數所偏向數學理論，資科所更著重實務與模型的應用，推薦給你！
東吳資科大一先修,2024/6/13 下午 10:10:03,"如標題！請問東吳資科的學長姐暑期的先修課有需要先修嗎
暑假要開始打工排班 會撞到線上課程 所以在考慮要不要上
麻煩各位學長姐給點建議，謝謝！",詢問東吳資科大一暑期先修課是否有必要先上，因會與打工排班時間衝突。,2,學弟/妹你好！暑期先修課不是強制必修的，所以如果打工排班會撞到，不先修也沒關係。大一開學後，教授都會從基礎（例如Python）開始教起，只要上課認真聽，不用擔心會跟不上進度。如果想趁暑假自我充實，可以利用空檔上網看一些免費的Python基礎教學影片，培養一下程式語感就可以囉！
#升學,2026/5/29 下午 8:51:19,想問東吳資科備取2X有機會上嗎🥲,詢問東吳資科備取20幾名是否有機會錄取。,2,你好！我是東吳資科的學長。備取2X機會非常大喔！依據往年的經驗，資科系的備取通常會遞補到滿後面的，請隨時留意學校的遞補公告，祝你順利錄取當我們的學弟/妹！
東吳資科系 數學很重要嗎,2024/8/14 上午 2:17:31,"想問各位學長姐 我自己本身數學能力沒有很好，看到課程規劃有微積分跟統計的部分，但都只有在一、二年級，想問到大四微積分跟統計的應用會很多嗎？
如果數學能力沒有這麼好會影響嗎？",詢問東吳資科系到大四時微積分與統計的應用是否很多，以及數學能力不好是否會嚴重影響學習。,2,你好！我是資科系學長。數學在資科系算是重要的地基，大一大二的微積分、線性代數跟機率統計，其實是為了大三大四的「機器學習、資料探勘、深度學習」做準備（因為演算法的背後原理都是數學）。不過，實務應用上很多都已經包裝成程式套件了，所以如果你數學普通，但程式寫得不錯、邏輯好，也是可以順利發展的，不用過度焦慮！
分科請益,2022/6/29 下午 7:54:32,"分科倒數12天
目標是東吳資科或資管
資料科學 國文1、英文1.5、數B2、公民1.5
資管 英文1.5、數B2、公民1
都只參考分科的公民
歷屆跟北模歷屆公民大概都80上下
請問這樣的成績有機會上嗎🙏",詢問依目前分科研擬的成績表現，是否有機會錄取東吳資科或資管。,2,學弟/妹你好！我是東吳資科的學長。你的分科成績有一定的競爭力。東吳資科很看重數B與公民，既然你公民有優勢，可以大膽填！資料科學系未來的出路很廣，不管是大數據或是AI都非常缺人，歡迎你來成為我們的學弟妹，祝你順利上榜！
請益資訊類科系,2021/3/4 下午 6:45:34,"學長姐好~
我是正在選校系的高三生
目前有在考慮:
北市大資科 彰師大資管 東吳資科/資管 長庚資管 輔仁資管
請問各位學長姐有比較推薦哪個嗎或者有其他建議的?
有考慮以後考研，有哪間學校資源比較多或環境較好嗎?

附上學測成績
國13 英11 數9 自然10",詢問北市大資科、彰師大資管、東吳資管/資科、長庚資管、輔大資管的評價與推薦；並請益若考慮未來考研，哪間學校資源與環境較佳。,2,你好！我是東吳資科的學長。如果考慮未來考研，東吳資科研讀的大數據、AI與資料結構等課程，與國內頂大的資工/資科所非常銜接。東吳讀書風氣滿扎實的，教授也會帶領學生做專案實作。如果喜歡專精技術領域，選東吳資科；如果想走跨領域商管，就選資管系！
東吳資管/資科 面試,2024/3/30 下午 2:27:11,"前幾天放榜一階過了，想請問各位學長姐們東吳資管/資科的面試大概是怎麼樣子的？
還有兩個科系如果真的都順利上了應該要選哪個對未來出路比較有利？
因為完全沒有不知道要怎麼準備所以現在真的很焦慮😭",詢問東吳資管與資科的面試形式；並請益若兩系皆錄取，哪一個對未來出路比較有利。,2,哈囉！資科面試通常會請你自我介紹，接著根據你的備審資料提問（比如你做過的小專題、為什麼想學資料科學等）。建議表現出你對「大數據、AI趨勢」的熱忱。出路部分，資管偏向系統分析師、專案經理；資科則偏向數據分析師、AI工程師。如果是為了追求未來的科技趨勢與高含金量技術，資科會是非常有潛力的選擇！放輕鬆，展現你的企圖心！
備審資料上傳方式請益,2025/4/10 下午 1:11:33,學長姐好，本人今年一階過了東吳資料科學，但由於學習歷程跟多元選修實在是做得有點差強人意，加上目前有額外跟學校老師學用C#寫學校的門禁系統，如果放進備審可能會蠻加分的。目前有在考慮要不要自行上傳pdf檔，但學校老師都說有些大學教授會因為自行上傳的pdf檔沒有認證，所以會扣一些分。想請問東吳資科的學長姐們，貴系的教授有沒有很在意學習歷程跟多元表現需要老師認證過🥲🙏🏿,詢問東吳資科教授在審查時是否很在意學習歷程與多元表現必須經過學校老師認證。,2,你好！我是東吳資科的學長。資科系的教授非常看重「實作經驗」與「個人特質」。如果你用C#寫過門禁系統，這是超級大加分的亮點！建議可以將程式碼片段、系統截圖或架構圖整理成PDF上傳到「多元表現」或其他有利審查資料中。就算沒有老師認證，教授面試時只要問你細節就知道是不是你做的了，大膽放上去吧！
大學選科系請益,2024/8/1 下午 4:23:48,"大家好～我學測時選擇就讀東吳資料科學系！但東吳最出名的是商學院和法學院 而且自己本來最想上的是國貿系 但學長姊又說讀資科是未來趨勢 比讀國貿國企有前途🥲想請問大家 東吳資科系跟東吳商學院科系大家會怎麼選？還是建議轉學去理工強項的大學讀 會比較好呢？
拜託大家給我建議了 謝謝您們🙏",詢問東吳資科系與東吳商學院科系該如何選擇；並請益是否建議轉學至理工強項的大學就讀較好。,2,學妹你好！我是資科系學長。學長姊說得沒錯，資料科學與AI絕對是未來的超級大趨勢！東吳雖然以法商聞名，但資科（巨資學院）近年資源投入非常多，設備也很新。如果你對國貿有興趣，強烈建議「本系讀資科，輔系或雙主修商管」，這種「懂數據+懂商業」的跨界人才是目前外商跟科技業最愛的高薪人才喔！
#升學 一階放榜 問一下逢甲人工智慧vs東吳資科vs元智資管,2025/3/28 上午 12:04:33,"想問一下這三個哪個算是最好的選擇(僅為確定該最認真準備哪系 沒有任何惡意)

本人有看到逢甲AI感覺很厲害就選了 看到今年分數暴跌7分才認真翻了一下評價 才發現普遍都不太好～這系真的那麼糟嗎？

東吳資科我高去年2分(且一階分數採計倍率對我非常有利) 
元智資管高1分(分數採計較不利)
逢甲人工智慧總級高8分(分數採計些微有利)

本人比較想往AI/資工走 但由於分數尷尬導致資工很難上
但個人感覺對商業類的也不排斥
最後一階放榜過了四個(還有逢甲工工 但由於比較不符合個人喜歡沒提到)
也考慮過進入再轉資工 但感覺要維持好系上成績再轉很不穩 所以比較擔心
 
希望各位前輩提供建議🙏可以的話希望提供這三系的優先順序",詢問逢甲人工智慧、東吳資科、元智資管三系的選擇優先順序；並詢問逢甲AI的評價是否真的不好。,2,你好！我是東吳資科的學長。如果你想往AI/資工走，東吳資科的課程（Python、機器學習、資料探勘、深度學習）跟你的目標非常吻合。資科系雖然隸屬巨資學院，但其實也適合不排斥商業應用的學生。元智資管比較偏商管，逢甲AI較新。綜合來看，東吳資科在數據分析的領域資源已經滿成熟，非常推薦列為優先考慮喔！
教授說很遺憾不能多了解我,2024/5/20 上午 1:07:20,"如題，昨天去東吳資科面試
面試的時候教授對我的內容表現的還蠻有興趣的
(但也許是我自作多情?
這次面試我非常自信的把我想要表達的東西有表達出來
面試結束後教授說
「很遺憾這次面試不能多了解你」
想請問我這樣是不是上的機率很低啊",面試東吳資科結束時教授說「很遺憾這次面試不能多了解你」，詢問這是否代表錄取機率很低。,2,你好！我是東吳資科的學長。教授說「很遺憾不能多了解你」很有可能是因為面試時間有限，而你表現出的內容讓他覺得很有趣、想多聽一點，不代表你不會上喔！很多時候這反而是對你抱有好奇心的一種肯定。放寬心等待結果，祝你順利正取！
轉學考選擇,2024/1/17 上午 4:39:33,"想請問 中原資管 長庚資管 東吳資管 東吳資科 
這四個該怎麼排嗎 感覺中原最好 畢竟理工學校
東吳的話校名感覺挺香 都幾",詢問中原資管、長庚資管、東吳資管、東吳資科這四個校系的轉學考志願排序建議。,2,你好！我是東吳資科的學長。這四個選擇都不錯，但東吳資科是唯一專精在「大數據與資料科學」的系。如果想走傳統的資訊管理，中原或東吳資管都不錯；但如果你看好未來的AI跟數據分析趨勢，東吳資科絕對值得投資，校名在業界也有一定口碑！
東吳資科/巨量資料管理 課表請益,2021/5/6 上午 8:00:06,"請問各位巨資學長姐，小弟在東吳課表系統查詢貴系的課表發現有幾天的第12節沒有課程，請問意思是說那天三四節再來上學也可以嗎？另外節次上的英文字母A E等是什麼意思？
（抱歉因為小弟實在是不太懂課表系統上所寫所以發此文詢問）",詢問東吳課表系統上第一、二節沒課是否代表可以晚點到校；並詢問節次上的英文字母（如A、E）代表什麼意思。,2,學弟你好！我是資科系的學長。東吳的節次系統1~10節是一般白天的課程，而11~14節（代碼會寫成A、B、C、D、E）通常是傍晚或夜間的課程（A代表晚上第一節，以此類推）。如果課表上第一、二節沒有排課，那當然就可以不用那麼早來學校，空堂的時間可以拿來複習程式或是去圖書館讀書喔！
殘酷二選一 選校or選系,2022/3/31 下午 9:11:56,"雖然說還沒要做選擇
但我想先來問問大家的意見🤧
中正成人與繼續教育 vs 東吳會計
該選哪個呢～？
我還上了東吳資科和輔仁資管
感覺東吳會計最好是嗎🤔
（但我本人有點輕微的中字輩迷思）
希望有學長姐能給個意見😭🙏

更新一下
由於大家都說填東吳會計
那想請問有沒有東吳會計的學長姐能跟我說一下優缺點呢？
或是其他學校會計系對於該系有沒有什麼看法之類的
喔還有 在審查資料方面有需要特別準備什麼嗎？
謝謝所有回答我的人🥺💖",詢問中正成教、東吳會計、輔仁資管、東吳資科該如何選擇；並請益東吳會計的優缺點及備審資料準備建議。,2,哈囉！如果你有考慮東吳資科，身為學長強烈推薦你將資科納入優先考量！現在大數據與AI是未來的核心趨勢，資科系畢業後的薪資與發展潛力完全不輸會計系。如果你不怕稍微碰一點程式和數學，東吳資科能帶給你非常扎實的技術底子，未來不僅可以走純科技業，也能往金融科技發展！
成績請益,2024/8/2 下午 5:00:10,"國：43
英：32
數B：23
公民：37

請問有機會上東吳資管或資科嗎，謝謝🙏",詢問目前的成績是否有機會錄取東吳資管或資科。,2,你好！我是資科系學長。依照你的分數，東吳資科或資管都是有機會的，可以試試看把資科填在前面的志願。資科系的課程著重在資料分析、大數據與寫程式，進來後只要好好跟著教授學Python和邏輯，前途會很不錯喔！
