主分類,子分類,標題,時間,內文
其他,,雙溪學生餐廳需求,2025/11/12 下午 11:26:06,"大家好，本人Karen謹代表「東吳大學資科系在校住宿權益委員會」發文。

經過同學反映雙溪校區的住宿生若在22.過後，想要吃晚飯維持基本營養，僅能去7-11進行採買和飲食，只有7-11是24小時營業，且周邊毫無餐廳可供學生選擇。惟學生健康相當重要，若長期只食用7-11微波食品，會對身體有所影響。因此我們立即會同委員會的委員進行了解，也確實發現以下問題：

1.沒有24小時營業的「餐廳」

2.周邊無餐廳

3.麥當勞只開到22.

4.557、300公車在離峰時段班次明顯不足，無法去士林站吃飯

建議更改方向：

１進駐24小時連鎖餐廳，如Sukiyaすき家等優質餐廳

2.與麥當勞協商，延長營業時間

3.學校自己建立自助吧餐廳，效法美國大學校內自助餐

4.增加公車離峰班次

改善夜間飲食選項不僅是滿足口腹之慾，更是保障住宿生基本健康與提升校園生活品質的體現。我們懇請校方正視此一需求，並採納上述建議，共同為東吳學子創造更完善的校園環境。

感謝大家的觀看

2025/11/12 
東吳大學資科系在校住宿權益委員會 公關部副組長 Karen
聯絡方式：bobaunni@gmail.com"
其他,,新生必看！帶您輕鬆了解考試版生態,2022/5/13 下午 1:11:47,"本人學店先道歉
最近學測統測要開始陸續放榜了
我想有些新生已經迫不及待想來考試版了
以下就讓小弟我帶大家快速了解生態
1.外國學校
外國學校是有歧視鏈的美>英>澳大致是這樣
在這版外國學校也是會被戰的
大部分都是頂大的電資科系嘴
內容大綱會圍繞在你是不是家裡有錢才能出國洗
題外話一下有一個哥大ivy哥還蠻有趣的
常用各種表情符號寫文章或留言
2.醫學系牙醫系中醫系
臺大醫學考試版至高無上的存在
醫學系的戰場是非常少的
可以說是0或許是重考生特別多
大家知道備考的辛苦英雄惜英雄
後段醫學系有時會被臺大電資嘴
高雄醫學牙醫算特例因為繁星的分數極低
在考試版算是地位最低的醫學系
3.臺灣頂大-臺清陽交成政
臺大尊爵不凡集所有類組第一志願
且戰其他學校通常不露系級的
因為光頭上的學校就屌打一堆學店
但有些情況是要露的
像是清交電資戰、內戰、後段醫戰
對這些本就站在金字塔頂端的人
不露系代表著兩件事
用冷門系洗上去或者就讀冷門系
清交跟臺大類似狀況只不過對手會降一階
成大常被台清交的人說不是四大
電資會被中央戰但是普遍還是認為成>央
法律會被北大、東吳戰
政大一類組的老二不過理工科系中央會來戰
陽明還沒併校時應該是算三類組老二
而且是很安靜的一所感覺與世無爭
3.串串-中央、中興、中正、中山
中央二類戰成大、政大可以說串串最愛戰的
中興算是溫和的一群人很少有戰場
中正、中山會被北大、北科台科戰南部分數低
但以考試版來說科大還是輸這兩間的
北大以前是中興法商一類組老三
電資近年分數有變高
但北大要小心夜間部有一陣子夜間部到處戰
中字殞落？
有時戰校戰一戰會出現這個詞
是近年來的一些事件造就這詞的出現
像是著名的壁虎事件、99%轉學生、172萬
抄襲論文
4.師範體系、教育大學
台師大將來如果要走師範體系的話是很棒的選擇
整體來說大概中字等級
彰師大霸校整天刷彰師五霸、哥與姊
很有趣的一群人
要說戰的話會跟海大電資戰
高師大及各所教育大學
算沒什麼存在感的戰場大概地名間
5.中字後的最佳選擇-海大、台科、北科
海大電資科系算能打的
還有新蓋的電資大樓
臺科請參考臺科大110學測申請級分統計表"
其他,,混文憑畢業證書 四年攻略,2026/7/3 上午 11:47:49,"此篇只適用於打算輕鬆準時畢業的學生 我就不廢話了 以下：
1. 東吳校務行政系統 》學生服務 》全校課表暨授課計劃查詢 》課表
（可以看到這堂課的每週課程進度、學期成績怎麼計算、會用到哪些書等等）"
其他,,給今年資料系的轉學生,2022/8/9 下午 10:22:17,"給資科系的轉學生們:
 歡迎來到東吳大學這個大家庭，這邊代表轉聯會也給予各位一些建議，
曾經也是一樣迷惘著，到最後成功走過來的我們，希望也可以利用這些經驗，
能夠給予各位一些實質上的建議，此言論只出自於我個人想法，僅供參考。

 系上給分大多算寬裕，只要有用心準備，分數其實都挺好看的 !

以下分享幾個我修過的課程:
(很多課都還是必修，所以還是得上，星星數只是 ""見仁見智"" )

[程式設計]⭐️⭐️⭐️⭐️
系上主要是用python，課程難易度還好，主要就是都在學語法較多，
每次上課結束通常都會有作業，但不會太難，就都幾個小程式當作練習而已。
程設(二)期末會分組做專題!! 

[線性代數]⭐️⭐️
自己得多花心力在上面@@

[巨量資料概論]⭐️⭐️⭐️
前期抄筆記，後期學一些軟體操作。
團隊分工為主，也不會太硬 分數甜
會用到R、Tableau

[資料分析軟體]⭐️⭐️⭐️⭐️⭐️
會學網路爬蟲! 蠻推薦這門課的!!!
老師教的不錯
python盡量語法要熟!!

[資訊安全與倫理]⭐️⭐️⭐️
照著PPT唸居多，偶爾會分享一些例子

[物聯網實務]⭐️⭐️⭐️
會用一些arduino等相關零組件做實際練習!

[機率統計]⭐️⭐️⭐️
共一學年，上學期教的其實都跟高中相差不會太遠，
大二下好像才會有比較多新的東西

[資料庫導論]⭐️⭐️
一學期下來，其實學到的真的不多，進度有些緩慢，
簡單的東西又被拉得很遠，講的有些複雜?

[網頁程式設計]⭐️⭐️⭐️
教學主要採用PHP語法，期末也是要分組做出一個專題網站!

[巨量資料處理架構]⭐️⭐️⭐️⭐️⭐️
讚阿，好好上，未來真的會有幫助
老師很認真，教得也很好
docker、container觀念、Hadoop等等都會給予相關知識，
Linux語法也是從這堂課開始有了更多的概念
容器化技術在未來若是走雲產業相關的工作，或者想走Devops工程師之類職務者，
是必學的東西!!!
現在整個企業也都漸漸從地端要走向上雲了，
所以一些容器相關的知識也越來越重要了!

[資料工程]⭐️⭐️⭐️⭐️
虛擬機的初體驗，雖然前期可能會裝軟體裝到懷疑人生(在VM上面)，
課程上下來也就是照著老師的影片做一模一樣的動作。
若可以，仔細去了解每個步驟，pipeline呀甚麼的!!
現在看過去，還是算挺有助益的，也至少有了一點點自己實作的經驗。
ElasticSearch、Kibana等等，在業界都是有在使用的軟體。

以上！ 祝福各位都有充實的東吳生活～！"
其他,,#請益 雙主修延畢or輔系or研究所,2025/4/27 下午 8:02:41,"各位學長姐好🙇🏻‍♀️本人目前就讀國貿系大一，明天就要開始申請雙主輔了，本來是在考慮要不要雙主資科系（成績有到門檻），因為對資訊有點興趣又是未來趨勢。但跟家人討論之後他們覺得法律+商也會有不一樣的優勢，所以漸漸的有被打動。

但問題是因為之前從來沒有想過要雙主或輔法律系所以自己的成績沒辦法申請法律系（目前期望自己下學期的成績能達到標準）。再加上法律系要讀五年，雙主修又基本一定會延畢，自己本來有規劃畢業之後想要去國外讀研究所，不知道為了法律系or資科系的文憑而推遲自己去國外讀研的計劃是不是好的選擇

目前有統整幾個問題想請問東吳的學長姊們🙇🏻‍♀️
1. 推薦雙主修法律還是資科
2. 若推薦法律有什麼課程是沒申請上法律系也能先修的課嗎（法律系有關的）（這題很伸手真的很對不起不回答也沒關係🙏🏻）
3. 本來有計劃出國讀研究所，應該是一定會，那還要為了雙主修延畢嗎
超級無敵感謝學長姐們TT

目前想到的未來規劃可能有
➡️順利申請上雙主資科系順利畢業（或延畢）然後去讀研究所
➡️下學期成績有到然後順利申請上法律系但不知道會延畢幾年然後去讀研究所
➡️什麼都沒申請上顧好本系成績然後去讀研究所

謝謝各位學長姐閱讀完這篇文章，不管什麼建議都超級感謝你們的留言😭"
其他,,拿到書卷獎很厲害，但還是要謙虛,2026/7/9 下午 7:42:11,"許多人努力讀書，拿到獎學金跟書卷獎，當然很優秀，不過那也只是證明妳在東吳很強，出了東吳去了台清交，或許你就從本校第一名，變成別人的最後一名。

尤其是法商學院的同學，你會來東吳其實本身實力就不是頂尖，不然你早就去台大、成大或政大，所以除非你是像本系的數學哥，曾經數學自然頂標，然後考上頂大-師大再轉來東吳，否則在你跟頂大競爭前，都先不要太自滿。

謙虛是東吳人最重要的東西，大家都不要忘囉 ~"
其他,,#商科研究所推甄請益,2026/7/1 上午 11:25:28,"就讀東吳大學經濟學系，目前升大四想申請研究所推甄。

目前背景：
在校成績：約系排名前 7–8%
已取得東吳大學五年一貫資格
語言：預計於 8 月底報考多益
證照：信託業業務人員、證券商業務員
競賽：校內股票投資競賽第一名
書卷獎*1、成績都在班排前五左右
實習經驗：無
大專生研究計畫：無

原本三月已報名財金所補習班，但發現財管和統計學兩科的難度比想像中的難（讀不下去），因此目前傾向放棄一般考試，改以推甄作為主要升學方式。

目前有興趣申請的研究所：
政治大學 企研所
政治大學 金融所
清華大學 科技管理研究所
陽明交通大學 科技管理研究所
臺灣科技大學 企研所
臺北大學 企研所
成功大學 企研所
成功大學 國企所
中央大學 企研所
中山大學 企研所
臺灣師範大學 企研所
中興大學 財金所

想請問學長姐以我目前的背景，以上這些系所都算是夢幻校系嗎？還是其中有幾間是比較有機會可以推推看的呢？謝謝"
其他,,多元學習分享會！,2025/9/14 下午 10:45:59,"多元學習分享會倒數3天

【本活動含美育認證】

大家好！我們是第19屆招生服務團，114學年度的多元學習分享會來囉～
想了解「雙主修／輔系／跨領域學程／第二專長／轉系」資訊的同學千萬不要錯過！

活動日期：114年9月17日(三)
活動時間：18：00～20：00
活動地點：東吳大學外雙溪校區G101會議室
報名日期：114年9月1日(一)～114年9月15日(一)晚上23：59止
【如果需要美育認證，請記得上東吳大學app報名！】

如果有疑問歡迎聯絡我們！
Facebook：東吳大學招生服務團"
其他,,115 資管_跨領域推甄請益,2025/10/18 下午 9:43:59,"（不會刪文，希望也給類似經驗的學弟妹參考）
各位學長姐好，
學校：東吳政治 雙主資料科學
排名：3%
多益：885
書卷獎*1
實習*2 ：軟體開發 & 外商顧問業（主要負責資料清理）
學術性社團*1
RAG 相關畢業專題*1 (正在做的專題不知道該放到什麼程度）
NLP 課外專案*1 (負責建模）
=====
感謝B1~ 
資結：正在修；機器學習 96；統計 98；
資料工程 93 ；程設 97 ；資料庫92 ；計概 87
數學是坑😍 微積分上下 64/84；線代 80
=====
有興趣的研究領域：人機互動、自然語言處理
=====
欲推系所：
政大資管
政大資科跨領域 
成大資管丙
成大智慧運算
中央資管
中興資管
台科資管
中山資管
=====
目前是打算海投資管相關校系，
但最希望可以去政大（有機會嗎😆🥹）
身邊私校跨領域推資管的案例真的蠻少的，
如果有類似背景的人歡迎聊聊給點建議
瞄準哪幾間學校推甄等
（再次感謝推甄路上的好文們，沒有你們的金句良言就沒有我的備審資料）"
其他,,［遠見］2021起薪最佳大學排名,2021/2/19 下午 12:52:24,"遠見今天公布大學學群起薪中位數排名，工程與電資排名裡面除了常見的四大名校是名列前茅之外，中央也是相當突出，看來中字輩的扛壩子果然就是中央，除了這五大校之外，北科跟政大倒是兩匹大黑馬，政大資訊相關科系這幾年是政大在法商之外最猛的，除了薪水不錯，連大公司（如台積）也是積極爭取。北科從台北工專蛻變後，現在依然持續發光發熱，加上太多校友在工業界，也讓北科的就業條件一直都很不錯。文法商裡面除了台大跟政大之外，北大 中原 淡江跟東吳也都進榜，而台科在人文表現也不錯...（是放錯榜了嗎？人文排名實在有點詭異）

以下為遠見原文"
其他,,我要重考嗎,2026/7/18 下午 3:13:54,"我是115應屆生，讀社區高中，準備學測時，因國英實在太爛，覺得國英如果沒有均標的話很難填學校，所以我學測大概只認真讀了國英，數學和自然我是跟著學校進度，不過三模後就完全沒碰了歷屆也完全沒寫，想說分科再努力

學測成績 
國：10(均) 
英：8(均) 
數A：10(前) 
自：11(均)

我準備分科時發現，不行我讀不完，所以我完全把重心放在我程度最好的數學上，物理我幾乎沒看，但數甲考出來的成績卻這麼差😭

分科成績(預估級分) 
數甲：20 
物理：21 
數乙：45

雖然我數甲寫歷屆沒這麼低，但原始分數也大概50幾而已，我覺得是我學得並不紮實高二太混，還有考試太緊張。然後數乙也沒考很好，導致我現在能填的科系很少也不一定是我想要的。能填的科系大概是東吳財務工程與精算數學系、逢甲統計學系商業大數據組

我身邊完全沒有朋友要重考，我是一個很無法自己要求自己、散漫、易受他人影響、對自己想要什麼不太清楚的人，但我絕對能勇敢走和別人不同的路。

我在想我要乾脆直接讀大學還是重考，我覺得我考出來明顯沒考好，但重考萬一沒比較好浪費一年怎麼辦，當初決定分科就是想分科會考更好，但沒有，而且孤軍奮戰不會怠惰掉嗎？我的程度有必要在拼一年嗎？而且還要重讀國英我好不容易才均標的，想到就好累。但又覺得我不能這樣止步。"
其他,,給新生（學士班）,2023/5/16 下午 6:45:42,"【更新1】：修改表達方式、介紹排序、內容排版、導外連結、樓層tag，增加新資訊。
【資料最後更新日】：2023/05/16（111學年度第二學期）
——————————————————————
大家好！
我是109級的大一，即將要升上大二。
此篇文章的目的是整理東吳大學的資訊，給初來乍到的新生或在學生的彙整資料！
藉此感謝及引用先前學長姐們的分享，同時也想拋磚引玉，促使資訊流通。
希望這些對你們有所幫助 (^^)"
其他,,是新生 有好多問題想問😵‍💫,2023/10/24 上午 1:10:44,"嗚嗚嗚剛上大學我真的問題超多
自己去查也查不清楚"
其他,,期末,2026/6/22 下午 10:50:09,"不覺得東吳真的很雷嗎
到底是不是老師的關係
發現很多科都看不到期末成績
期中考期末考平時作業成績之類的
有些老師都直接給總成績
然後有些成績還亂七八糟
讓大家一頭霧水…然後還一直改，改了又改"
其他,,招生服務團招新✨,2025/9/3 上午 11:42:36,"🎉嗨大家好～我們是第19屆招生服務團！
 
不論你是剛踏入校園、對社團滿滿好奇的新鮮人，還是已經在東吳生活一陣子、想替大學時光增添新體驗的學長姐，我們都誠摯邀請你，一起加入招生服務團的行列！✨
 
🔍在招生服務團，你將有機會：
✔ 與高中生與家長面對面互動，釐清升學方向與疑惑
✔ 分享你的經驗與故事，讓更多人認識東吳
✔ 傾聽與陪伴，給予迷惘的高中生實用建議
✔ 擁有來自不同科系但同樣熱情的夥伴們
✔ 練就溝通、表達與臨場反應的硬實力💬🔥
體驗成長蛻變的每一刻，成為更自信的自己！
🔍🚌我們在做什麼？精彩活動搶先看！
📍全台走透透：參加高中與地區博覽會，介紹東吳特色！
📍東吳導覽員：接待來訪高中生，進行校內導覽認識校園！
📍互動零距離：參與「預見東吳」等大型招生活動與高中生熱情交流！
👉每一次活動，都是一次成長的機會！
🔍當然，我們也有豐富的社課：
📌社課培訓：從院系介紹到導覽技巧，團隊合作力UP！
📌活動社大：學期初末社大聯誼交流，感情滿滿❤️
📌導覽實作：東吳校園還有哪些你不知道的神秘景點？
有學習、有夥伴、有歡笑，充實感爆棚！
在提升實力的同時，也能與團員建立深厚情誼
是不是覺得收穫滿滿呢？
📢報名資訊來啦！
🗓️報名期間：114年9月1日（一）～9月19日（五）晚上23:59止
📝報名方式：
1️⃣線上填表"
其他,,多元學習分享會！,2025/9/4 上午 11:50:21,"多元學習分享會【本活動含美育認證】

大家好！我們是第19屆招生服務團，114學年度的多元學習分享會來囉～
想了解「雙主修／輔系／跨領域學程／第二專長／轉系」資訊的同學千萬不要錯過！

活動日期：114年9月17日(三)
活動時間：18：00～20：00
活動地點：東吳大學外雙溪校區G101會議室
報名日期：114年9月1日(一)～114年9月15日(一)晚上23：59止
【如果需要美育認證，請記得上東吳大學app報名！】

如果有疑問歡迎聯絡我們！
Facebook：東吳大學招生服務團"
其他,,他媽的,2026/6/12 上午 9:17:02,學校的系統怎麼都登不進去了，tronclass、校務行政系統、東吳課表都卡在那邊，想抱佛腳抱不了，學校要我亡
其他,,商科研究所推甄請益,2026/6/16 下午 5:55:26,"大家好～我是今年準備推甄的私靜宜國貿系大三升大四生。最近在整理備審資料並篩選校系，因為身邊能請教的學長姐資源較少，想請教板上的學長姐，以我目前的背景，推甄以下目標學校的機會如何？或者有沒有其他建議擴充的校系？
以下是我的個人背景與經歷：
📌 【基本資料與學業成績】
 學業成績：
112學年18/126
113學年20/117
外語能力：
 日檢： JLPT N3、N4 證照（準備繼續考N2/N1 ）
 多益： 520分（會盡量衝到700分）
📌 證照
 貿丙、國貿大會考
（請問還有什麼推薦考的證照嗎😍）
📌 競賽
1. 中區跨境電商實作競賽 （佳作）
2.創新創業團隊（進行中）
想推行銷或國企的研究所
目前的夢幻志願是中興
主力是輔仁、東吳
保守想推逢甲、東海
謝謝學長姐們🙏🙏🙏"
其他,,多元學習分享會,2025/9/1 下午 4:56:36,"【本活動含美育認證】
大家好！我們是第19屆招生服務團，114學年度的多元學習分享會來囉～
想了解「雙主修／輔系／跨領域學程／第二專長／轉系」資訊的同學千萬不要錯過！
活動日期：114年9月17日(三)
活動時間：18：00～20：00
活動地點：東吳大學外雙溪校區G101會議室
報名日期：114年9月1日(一)～114年9月15日(一)晚上23：59止
【如果需要美育認證，請記得上東吳大學app報名！】
如果有疑問歡迎聯絡我們！
Facebook：東吳大學招生服務團"
其他,,多元學習分享會倒數1天,2025/9/15 下午 4:34:45,"【本活動含美育認證】

大家好！我們是第19屆招生服務團，114學年度的多元學習分享會來囉～
想了解「雙主修／輔系／跨領域學程／第二專長／轉系」資訊的同學千萬不要錯過！

活動日期：114年9月17日(三)
活動時間：18：00～20：00
活動地點：東吳大學外雙溪校區G101會議室
報名日期：114年9月1日(一)～114年9月15日(一)晚上23：59止
【如果需要美育認證，請記得上東吳大學app報名！】

如果有疑問歡迎聯絡我們！
Facebook：東吳大學招生服務團"
其他,,通識/體育選課分享,2026/6/30 下午 5:20:47,"每次到選課時都會讓人很苦惱，分享一下我目前選過的通識課跟體育課，希望可以幫到大家～
通識
📌遇見未來－創新科技半導體精英講座（類別三）
授課教師：梅長生
每週會請講師來演講，這堂課非常看重出缺席，每堂課都會點名，期中期末都是交一份word報告就好，老師會要求大家用AI做報告，不過要附上和AI協作的過程，這是決定報告分數高低的標準，老師人非常好，期末會發哈佛大學的鉛筆給全勤的同學。"
其他,,志願選填,2026/7/18 下午 9:51:36,"想請教河道各位大神 以下幾間學校及科系若參考未來出路薪水高低推薦如何排列志願順序
1.東吳會計
2.東吳精算數學
3.東吳財經
4.輔仁會計
5.高雄大學應用經濟
6.有其他東吳或者輔仁大學推薦的科系
感謝大家 小弟逛完河道仍對選填沒什麼想法 因此想聽聽看各位出了社會後的反饋"
其他,,多元學習分享會！,2025/9/10 上午 8:26:45,"多元學習分享會【本活動含美育認證】

大家好！我們是第19屆招生服務團，114學年度的多元學習分享會來囉～
想了解「雙主修／輔系／跨領域學程／第二專長／轉系」資訊的同學千萬不要錯過！

活動日期：114年9月17日(三)
活動時間：18：00～20：00
活動地點：東吳大學外雙溪校區G101會議室
報名日期：114年9月1日(一)～114年9月15日(一)晚上23：59止
【如果需要美育認證，請記得上東吳大學app報名！】

如果有疑問歡迎聯絡我們！
Facebook：東吳大學招生服務團"
其他,,115學年大學學測分發使用率超過9成公私立大學,2026/6/24 上午 12:31:28,"轉貼今周刊新聞

今年115學年大學申請入學管道分發錄取率56.31%是近4年最高，缺額7823個是近5年最低，今年申請入學頂大名額使用率多在8成以上，其中，台大名額使用率89.49%、成大80.72%、陽明交大87.06%、清大最高95.61%。

不過，頂大也出現未滿招名額，像是台大留下188個缺額，成大237個、陽明交大135個、清大52個。

私大申請入學名額使用率逢甲、中原等有超過9成以上

從今年私立大學申請入學名額使用率來看，逢甲大學95.25%、中原大學93.67%，輔仁大學87.17%、淡江大學81.17%，亞洲大學94.17%、中國醫藥大學84.90%、東海大學89.09%、國立中興大學75.62%，逢甲在中部學校位居領先，逢甲也以2385名獲分發人數居全國公私立大學之冠。


理工見長的私立大學名額使用率逾9成


理工見長的私立大學名額使用率逾9成，包括大同大學95.65%、逢甲大學、95.23%、元智大學94.79%、中原大學93.67%。

其他像是東吳、輔大、東海、淡江、銘傳、實踐名額使用率在8成以上。



今年缺額數最多的是淡江大學，共446個缺額，銘傳大學則有421個缺額，國立嘉義大學也留下325個缺額。




依簡章規定，各校系分發後的招生缺額與之後獲分發錄取生所放棄的缺額，其名額如屬教育部核定當學年度新生招生名額者，將扣除當學年度「繁星推薦」增額錄取之名額後，回流至大學分發入學招生名額使用（外加名額除外），增額分發的名額，亦由分發入學招生名額流用。


不少學子在考慮科系或校系時，都會希望能進入未來好就業的學校，私立大學甚至不輸國立大學，成為考生心中首選。


在今年最新21所「黃仁勳大學」中，逢甲也出現在背板上，在產學連結上，逢甲長期與台積電、志聖、旺宏、美光、欣銓、矽品等產業龍頭透過課程、實習及共設實驗室共同培育人才。"
其他,,求解,2026/6/15 下午 9:44:38,東吳的第二專長到底有沒有用啊？剛剛爬了一些文，聽起來都偏負面耶
其他,,電子畢業證書（更：已在垃圾信箱翻找的）,2026/7/9 下午 5:03:57,"東吳大學的電子畢業證書有要寄到我們信箱了嗎
過了幾個禮拜還是沒收到"
其他,,#選課 音樂系,2026/6/20 下午 4:50:40,台藝音樂系和東吳音樂系到底要選哪一個
