編號,核心整理內容
38,課堂學員專注神情側拍：記錄女學員佩戴口罩、專心操作筆電進行數據分析流程。
39,跨平台除錯課堂側拍：助教與學員共同檢視智慧型手機與筆電端之資料即時串流與通訊協議傳輸。
40,人物訪談短圖卡（江佳霓同學）：探討數據行銷應用，闡述透過數據描述使用者行為與進站動機。
41,巨量資料管理學院招生實體說明會：金凱儀院長向滿座家長與準大一新生介紹全國首創大數據跨領域培育體系。
42,金凱儀院長說明會致詞特寫：向家長闡述東吳巨資學院大數據跨領域辦學理念與遠見。
43,重磅宣布跨國合作：金凱儀院長宣布東吳巨資於2025年領先全台，成為首個與美國加州聖荷西州立大學（SJSU IDS）簽署碩士先修雙學位之學院。
44,說明會結論總結：整合資料科學與人工智慧，強調「跨域學習」、「強化產學合作」與「明確職涯路徑」三大培育支柱。
45,學系品牌概念形象：「數據不只是數字，更是改變生活的力量」——資料科學與多媒體數據分析之深度整合。
46,《台灣好品牌》電視節目專訪截圖：金凱儀院長受訪暢談掌握資訊潮流、善用巨量資料培育未來產業人才。
47,學系形象宣傳寫真：女大學生漫步校園步道，呈現資科系學子兼具知性學養與陽光自信之形象。
48,115學年度學士生先修碩士班課程（學碩一貫）簡章：申請期為115年5月4日至5月29日，甄選本校大三以上在學生至多10名。
49,科系大辨析問題篇：「資料科學系的課程與資工系差別？」。
50,科系大辨析解答篇：資科與資工基礎數理與演算法相通；但資科系較少著墨底層硬體與作業系統，全系核心聚焦於「資料分析與貼近生活的跨域應用」。
51,升學疑慮解答問題篇：「如果是沒有很強數學背景的學生，在大一大二修核心課會不會很吃力？系上通常怎麼幫助學生跟上？」。
52,生醫臨床AI專題講座：台北醫學大學張詠淳教授主講「從大型語言模型到臨床 AI：應用、限制與落地經驗」，解析臨床診斷輔助與醫療法規落地。
53,臨床AI講座開場學者互動：東吳資科專任教師與台北醫學大學張詠淳教授同台致意交流。
54,臨床AI講座引言特寫：東吳專任教師向全場師生介紹張詠淳教授在生醫NLP與智慧醫療領域之學術成就。
55,多模態臨床AI技術架構演講特寫：張詠淳教授剖析AI於金融NLP、生醫NLP、醫學影像及運動科技之落地實例與模組架構。
56,臨床AI講座聽眾席全景：全系師生攜帶筆電坐滿階梯演講廳專注聆聽智慧醫療講座。
57,科系大辨析問題篇：「資料科學系的課程與資管系差別？」。
58,科系大辨析解答篇：資管系偏重企業經營與商管流程管理；資科系全系能量聚焦於「數據處理、機器學習分析、資訊視覺化與生活多媒體AI產品開發」。
59,申請入學篩選科目調整問題篇：「請問往年一篩英數B，今年為何改一篩英文？」。
60,篩選科目調整官方解答：因改採數A/數B兼採無法於一篩雙採，且為突顯特色並支撐未來閱讀國際AI文獻與英文討論，慎重選擇以英文作為第一階段獨立篩選科目。
61,《台灣好品牌》電視播出預告：寰宇財經台 MOD520 於04/18(六) 21:00-21:30 播出巨量資料管理學院專題報導。
62,NVIDIA GTC 2026 校園 Watch Party 海報：3月23日於外雙溪普仁講堂舉辦黃仁勳執行長主題演講中文導讀直播會。
63,普仁講堂活動全景紀實：階梯式國際會議廳座無虛席，滿座師生參與學術講座與說明會。
64,四年修業地圖演講解析：金凱儀院長剖析三大核心模組（AI系統、雲端與資料工程、智慧商務與資料分析）四年循序漸進架構。
65,許晉雄教授兼教務長致詞特寫：親臨第一線於說明會勉勵準大一新生與家長。
66,蘇明祥副教授主講系所特色：介紹跨領域多元師資（五大核心領域），並宣傳前往美國加州 SJSU IDS 之雙聯留學捷徑。
67,雙師協同座談答詢實況：吳政隆教授與蘇明祥副教授於講台為家長務實解答未來出路與程式學習門檻。
68,校園資源分享實況：師長向新生家長分享系所國際交流計畫、證照考取獎助金與競賽輔導資源。
69,行政團隊生活輔導說明：行政人員與專任教師向家長與新生介紹大一適應、雙校區交通、導師輔導與系辦支持機制。
70,邱嘉豪助理教授專業分享：介紹如何在課堂上結合機器學習演算法與程式自動化交易，指導學生設計量化投資策略。
71,在校學姐傳授二階面試心法：分享「口齒清晰、聽懂題目、想好再回答」三大面試原則及資科系常見必考題型。
72,在校學長分享校園資源：現身說法分享如何善用系上補助考取 NVIDIA 國際認證與獲得「文華獎學金」。
73,2026預見東吳動線引導告示：設置金屬立架指引4月12日台北場前來諮商之考生與家長前往資料科學系教室。
74,蘇明祥副教授訪談（教學特色）：強調手把手從最基礎理論循序漸進教學，零基礎學生亦能無負擔學會大數據。
75,系辦日常趣味迷因：同仁臉遮「巨資小編 崩潰中」自嘲「連假後的系辦現場，小編想直接登出」。
76,許晉雄教務長訪談：澄清念資科「其實不用數學極好，更注重的是邏輯思考與實際問題的解決能力」。
77,邱嘉豪助理教授訪談（職涯諮詢室）：指出資科人才最大優勢在於結合數據與跨領域專業做出精準商業決策。
78,邱嘉豪助理教授快問快答：破除每天枯燥寫程式的迷思，「我們會教你用 AI 輔助協作！」。
79,吳政隆教授訪談（產學實戰）：介紹學生在學期間直接承接上市櫃企業產學專案與跨域實驗室成果。
80,金凱儀院長訪談（學系本質）：全面拆解資科系核心定位為融合統計、資工與跨域商務，培育新世代數據領袖。
81,概念視覺「光與數據之戰 第一部-魔龍降臨」：以戰士迎擊魔龍象徵年輕學子勇敢面對海量複雜數據挑戰。
82,概念視覺「光與數據之戰 最終曲-決戰巨石王」：象徵經歷四年數理與AI訓練後正面擊潰產業數據壁壘。
83,畢業典禮紀實拼圖：包含許晉雄院長致詞、全體師生大合照及卸任校長祝福三格紀念照。
84,畢業生流向訪問宣傳（112、110及108學年度）：2025年7月12日起由學弟妹進行電訪，8月25日前完成線上問卷可參加300個母校紀念品抽獎。
85,畢業生流向訪問抽獎活動規則（2025年版）：採三波滾動式抽獎（6/27抽90名、8/1抽150名、8/27抽60名），獎品含陽明/長榮海運禮包、模型等共300名。
86,畢業生流向政策宣導圖卡（2025年版）：依教育基本法第九條辦理之全體普查，說明辦學優化、課程調整及校友聯繫三大核心效益。
87,畢業生流向參與管道圖卡：圖解6至8月「線上問卷」（身分證字號+生日後四碼）與7至8月「學弟妹暑期電話訪問」。
88,畢業生流向FAQ（薪資與就業）：薪資採去識別化區間統計；待業中如實填答亦為寶貴回饋，作為母系調整課程與了解就業市場之依據。
89,畢業生流向FAQ（工作內容）：分析行業與職業類別分佈；任職公司若有保密需求可用概括代稱（如【XX律師事務所】）。
90,畢業生流向FAQ（雙學位與歷史數據）：不同學制各屆滿年限需分開填答；歷年統計摘要公開於生涯發展中心官方網站專區。
91,兒童正念課程研究計畫招募：何穗華博士主持，招募7-11歲兒童，探討互動機器人輔助正念課程對專注力之成效（9週免費課程）。
92,東吳二代泰迪熊紀念品開箱特寫：兩隻身穿SCU外套之東吳泰迪熊手捧福袋。
93,創意登機證畢業典禮邀請函：許晉雄院長敬邀參加114年6月7日（六）13:00於外雙溪哲生樓舉行之畢業典禮。
94,「謝謝老師」泰迪熊寫真：戴學士帽的東吳泰迪熊舉手道謝，表達對恩師辛勤栽培之感激。
95,復古電影片格風格畢業照：小熊穿學士服奔向客機，「參加畢業典禮囉！」象徵邁向下個人生新旅程。
96,期末考 ALL PASS 暖心應援圖卡：戴眼鏡的東吳小熊在圖書館自習陪伴溫書，「期末考 ALL PASS！」。
97,COMPUTEX 2025 校園連線直播開幕：詹乾隆校長於講台發表開幕演說，引領全校師生觀看 NVIDIA 執行長黃仁勳主題演講直播。
98,COMPUTEX 2025 Watch Party 大合照：普仁講堂滿座師生拉起微星科技（MSI）贊助橫幅與龍魂盾牌熱血歡呼。
99,黃仁勳演講「台灣科技生態系地圖」：COMPUTEX演講展示台灣立體地圖及台積電、微星、東吳大學等全台核心夥伴標誌。
100,普仁講堂 Watch Party 全場紀實：階梯講堂師生高舉活動手牌比讚，記錄共同見證AI運算革命演講之盛況。
101,詹乾隆校長致詞特寫：闡述AI破壞性創新，強調東吳巨資在軟硬體與產學合作上的全面布局。
102,黃仁勳演講「台灣供應鏈夥伴星空圖」：展示台灣作為全球AI運算底層架構首都的核心地位與合作夥伴矩陣。
103,AI虛擬主播短影音開箱：生成式AI生成超擬真虛擬學姐「巨資小編」，帶領線上開箱全新「智慧創新AI學習中心」。
104,趣味心理測驗主視覺：推出「你和AI的距離有多近？是哪一型資料探險家」心理測驗。
105,「資料探險家」心理測驗點擊入口：引導高中生透過測驗探索個人性格特質與資科系模組之契合度。
106,114學年度申請入學二階甄試歡迎海報：許晉雄院長致詞實景海報，歡迎考生5月17日前往哲生樓應考。
107,114二階甄試第二天暖心應援海報：東吳泰迪熊為5月18日應試考生送上考試加油祝福。
108,114申請入學指定甄試懶人包封面：太空探險主題海報「ARE YOU READY」，引導考生應對甄試。
109,學士班應屆畢業生學習成效調查問卷：高教深耕計畫辦公室發布，開放填答至114年7月31日止。
110,巨資學院院長交接暨十週年院友會成立大會：114年6月28日（六）上午10時於城中校區游藝廣場舉行。
111,114申請入學面試時間表公告：提供QR Code查詢5月17-18日哲生樓3樓個人場次，嚴正提醒攜帶身分證正本準時報到。
112,「凱比機器人實務應用工作坊 1」招生：台科大數位博士陳冠甫主講「如何設計AI機器人」，於2025.06.26線上進行。
113,「凱比機器人競賽」總覽宣傳：包含三場培訓工作坊，初賽8/15截止、決賽9/24於普仁堂頒獎，首獎1.5萬元加贈機器人實機。
114,「AI生成魔法：創意與生產力」工作坊花絮：仲崇嘉老師傳授 ChatGPT、Leonardo.Ai 及 D-ID 工具實戰應用。
115,「Power BI 入門課程」結業獲獎合影：學員於城中校區完成兩天商業智慧與數據視覺化實戰並領取結業證書。
116,高中階段準備方向QA圖卡：引導高中生著重數理邏輯、自主學習與跨領域探索，無需盲目囤積證照。
117,日系動漫科普圖卡（一）：動漫女高中生提問「資料科學系與資訊工程、資訊管理有何不同呢？」。
118,日系動漫科普圖卡（二）：動漫男學生解說大一大二微積分、線性代數與Python程式基礎之重要性。
119,動漫虛擬記者「小宇」登場：虛擬男青年記者小宇亮相，揭開系所招生訪談與校園花絮報導序幕。
120,114學年度申請入學統一分發滿招海報：宣告資料科學系全數滿招，提供大一暑期先修課與天下創新學院2學分自學認證。
121,114學年度學士生先修碩士班課程（學碩一貫）簡章：5月5日至5月29日受理申請，甄選大三以上在學生至多6名。
122,美漫風格二階甄試報名圖卡：美式漫畫插畫宣傳114學年度大學申請入學二階甄試作業開始報名。
123,學院風備審指引宣傳圖卡：宣傳114學年度申請入學準備指引及學習歷程檔案影片連結。
124,114申請入學審查重點及準備指引：圖解修課紀錄、課程學習成果、多元表現及學習歷程自述四大評審構面。
125,東吳熊與聯名乖乖趣味寫真：兩隻東吳二代泰迪熊與綠色包裝東吳專屬聯名「乖乖」零食合影。
126,預見東吳台中場外拍宣傳：東吳泰迪熊預告系所教授親赴台中升學博覽會提供現場諮詢。
127,東吳125週年校慶祝賀圖卡：泰迪熊與雙層草莓蛋糕，標語「東吳125 再創新東吳」。
128,校園露營車戶外英式下午茶主題寫真：泰迪熊在校園露營車前享用三層點心塔，展現舒適校園生活氛圍。
129,奇幻概念圖卡「數據與魔法之戰」：戰士面對黑翼魔龍，隱喻大數據時代的技術探索。
130,升學博覽會教授諮商實況：資深男教授於博覽會展位親切為高中生與家長進行升學諮商。
131,外雙溪校門建築實景攝影：萬里晴空下「東吳大學」名家書法石牆與花台校名雕塑全景。
132,114學年度大學繁星推薦全數滿招海報：宣布繁星推薦滿招，提供大一暑期先修課程與天下創新學院自學學分。
133,114碩士在職專班錄取名單公文海報：公布資料科學系碩專班【正取共48名，備取共0名】全額滿招榜單。
134,114碩士在職專班錄取名單查詢圖卡：提供QR Code與網址供考生快速下載錄取榜單公文PDF。
135,114碩專班報到重要日程公文：正取生4月21-22日現場入學驗證報到；備取生分4/24-28網路登記意願與5/5現場驗證兩階段。
136,114碩專班錄取通知公文範本：通知於4月21-22日晚間至城中校區鑄秋大樓2123會議室繳驗學歷證書、身分證正本與證件照。
137,114碩士班一般生招生考試錄取名單海報：公布資料科學系碩士班一般生【正取共5名，備取共8名】錄取榜單。
138,114碩士班一般生榜單查詢圖卡：提供QR Code與短網址快速查閱錄取榜單公文PDF。
139,114碩士班一般生備取生報到日程公文：4/8-11登記意願、4/18-21查遞補傳同意書、5/23前（應屆7/31前）補傳畢業證書。
140,114碩士班一般生正取生報到日程公文：4/8-11完成網路登記並上傳通訊報到同意書、4/16公告確認名單、到校查驗正本。
141,個人申請面試重點提醒心法：準備精練自介與動機、學會放鬆、注意進出場禮貌、全程眼神交流、聽清題目再作答。
142,個人申請出發前準備確認清單：預估交通時間防塞車、服裝整潔得體、帶齊身分證正本、提早半小時抵達考場。
143,面試指南 PART 1（資料蒐集）：了解目標學校特色、摸透資科系課程模組、熟讀個人備審自述動機、關注AI時事。
144,面試指南 PART 2（肢體語言）：練習面部微表情、保持堅定眼神接觸、全程自然微笑、坐滿椅半端正挺胸、避免轉筆撥髮。
145,面試指南 PART 3（口語表達）：語調音量均勻沉穩、採「條列式架構」作答、語言流利連貫、前後邏輯一致切忌自相矛盾。
146,面試指南 PART 4（服裝儀容）：正式整潔舒適為原則，切忌運動鞋配西裝褲；穿著襯衫長褲或及膝裙，維持清爽淡妝，無須買昂貴套裝。
147,面試指南 PART 5（模擬練習）：穿當天正式服裝演練自介動機、每題作答控制在1-3分鐘內、離場禮貌道謝並輕聲關門。
148,113學年度學士班招生達成率100%捷報：標語「城功在望 溪望無窮」，宣告全校學士班全數滿招。
149,2025線上QA座談主視覺海報：宣布「東吳資料科學系大哉問 線上QA互動座談暨學習歷程檔案準備指引」於2025年3月15日(六) 09:30-11:00舉行。
150,2025線上QA座談雙二維碼圖卡：提供報名表單QR Code與當天直接進入會議室之視訊連結QR Code。
151,113學年度專題實作成果發表會紀錄拼圖：多張拍立得照片記錄學生簡報、數據展示與全體師生大合照。
152,假日短期共創微課程紀錄：記錄學生上台簡報架構並實機演示「AI互動聊天機器人」開發成果。
153,114申請入學前半段時程速查：3/20-21報名、3/27一階公布、4/21-5/6二階繳費及上傳審查資料、5/17-18面試。
154,114申請入學後半段時程速查：5/28東吳榜示、6/5-6登記就讀志願序、6/12公布最後統一分發結果。
155,114申請入學招生簡章核心資訊：校系代碼005232、一般生名額65名、預計甄試195人、原住民外加3名、甄試費1000元。
156,114申請入學採計標準表格：一篩英數B後標(3倍)；二階學測佔35%(英*1+數B*2)、審查資料35%、口試30%；低收弱勢原始分加分10%。
157,114二階指定項目與評量向度：口試評量表達、邏輯反應與科系了解；同級分超額篩選學測英數B級分總和。
158,扎根第1哩新生定向輔導活動：外雙溪校園大型迎賓桁架展示「扎根第1哩 東吳歡迎你」。
159,碩專班吳金容同學榮獲2024傳善論文獎：指導教授為吳政隆老師。
160,大學部葉星彤同學榮獲國科會112年度大專學生研究計畫「研究創作獎」：指導教授為金凱儀教授。
161,蘇明祥副教授榮獲本校112學年度「績優導師獎」。
162,蘇維宗助理教授榮獲本校112學年度「熱心導師獎」。
163,丁德天助理教授榮獲本校112學年度「熱心導師獎」。
164,徐澍萬同學通過113年度國科會大專學生研究計畫：題目為穿戴式擴增實境系統對程式設計教學成效影響（指導教授：金凱儀）。
165,楊沛潔同學通過113年度國科會大專學生研究計畫：題目為沉浸式VR高齡交通安全宣導之聽覺音效干擾研究（指導教授：呂明穎）。
166,李玥萱同學通過113年度國科會大專學生研究計畫：題目為長樂溝通長照數位轉型平台研究（指導教授：李家萱）。
167,許晉雄教授課堂授課：於階梯演講廳拆解 Google 搜尋引擎後端機制演化與巨量資料檢索。
168,許晉雄教授實作課堂全景：階梯會議廳學員各備筆電操作多維度數據交叉表與演算法流程。
169,雲端運算與開發環境實作：學員於課堂同步在本地端配置 Jupyter Notebook 與 Python 環境。
170,數據分析流程架構授課：女性教師於講台解析人力資源數據與多層次決策分析架構。
171,課堂學員專注編程特寫：女同學專心凝視 MacBook 螢幕上的數據分析程式碼。
172,助教示範機器學習開發環境：講台大螢幕演示 Anaconda Navigator 介面與 JupyterLab 套件安裝。
173,學員專案口頭成果發表：男同學於講台簡報石岡壩與日月潭水庫蓄水量數據分析與小提琴圖視覺化。
174,113學年度人工智慧應用工作坊招生：新加坡 KYC GLOBAL 執行長周光宇副教授主講「你需要知道的人工智慧」，於9-11月四個週日在城中校區舉行。
175,系辦暑假行政服務時間公告：暑期服務時間為週一至週四 08:30-16:00，特別標註7/15至7/24全校連續休假。
176,跨科際智慧應用學程113-1選課線上說明會：6/20（四）10:30-11:30 透過 Google Meet 說明學程修課路徑與選課推薦。
177,文字探勘工作坊結訓合照：師生於講台前慶祝「不想被取代？秒懂AI機器人」工作坊圓滿結訓。
178,許晉雄院長於巨資畢業典禮致詞：院長著博士袍於體育館禮堂發表畢業勉勵詞。
179,113學年度申請入學全額滿招海報：宣布資料科學系申請入學滿招，熱烈期待新生入學。
180,高中志願選填太空宣傳圖卡：「填報第1志願！讓我們一同飛向浩瀚的AI宇宙」。
181,「認識巨資 第3集」錄講實況：許晉雄院長解說大數據分析工具與雲端運算設備。
182,「認識巨資 第2集」就業市場分析：許晉雄院長引述數據指出AI與資料科學人才市場需求增幅達47%。
183,「認識巨資 第1集」開篇錄影：許院長介紹巨量資料管理學院創立願景與多元學習特色。
184,學姐經驗分享短片：高年級學姐於講台傳授二階面試心法與大學求學經歷。
185,學姐的重要建議短片：學姐根據四年經驗傳授專案參與、證照考取與實習時間管理心法。
186,學姐解答「大學學什麼？」：闡述大學核心在於鍛鍊自主學習、批判思辨與跨領域團隊協作。
187,蘇明祥副教授教學特色訪談（一）：蘇老師以幽默風格介紹系上實戰教學體系。
188,蘇明祥副教授教學特色訪談（二）：介紹系上如何為零基礎學生規劃階梯式程式與數學課程，手把手建立信心。
189,蘇明祥副教授主講「高中生邁向大學學習之路」：剖析高中被動應試到大學專題研究的思維轉變。
190,蘇明祥副教授「饋咖」迷因圖：蘇老師手托腮做出幽默表情，配上經典台語「饋咖」展現親民系風。
191,113申請入學面試首日紀實：哲生樓大廳立牌、H303家長座談與報到櫃檯接待實況。
192,113申請入學指定甄試懶人包封面：太空探險主題海報「ARE YOU READY」。
193,113甄試考生與家長須知：提示哲生樓303/304考場、攜帶身分證正本、早出門防塞車，並歡迎參加H303家長座談。
194,外雙溪校區全方位交通資訊指南：彙整公車路線、捷運士林/大直站轉乘、台北車站接駁與自駕路徑。
195,考場位置與哲生樓實景導覽地圖：標註外雙溪平面圖及從校門口沿敬熙路步行至哲生樓之動線。
196,資料科學系官方社群矩陣推廣：彙整官網、FB粉專、官方IG與YouTube訂閱二維碼。
197,NVIDIA Jetson Nano 實作研習現場：學員於電腦教室操作嵌入式開發板，部署神經網絡於邊緣運算晶片。
198,凱比機器人實務研習設備展示：長桌陳列四台純黑與一台純白凱比機器人（Kebbi）進行互動對話教學演示。
199,「創藝文字探勘 Orange3 工作坊」實況：青年女講師於菁英講堂講授免代碼拖拉元件完成文字特徵擷取與情感分類。
200,2024資料科學系大哉問線上座談預告：賽博龐克霓虹視覺預告線上QA座談。
201,「不想被取代？秒懂AI機器人在想什麼」工作坊：5/20於雙溪H211舉行，由三位講師解析文字探勘與AI思考邏輯。
202,「創藝文字探勘 Orange3」無程式碼工作坊簡章：5/4於城中5216舉行，許昕云講師傳授社群文本爬梳與文本價值挖掘。
203,2024線上QA座談流程海報：4/27於 Microsoft Teams 進行，包含開場、指引QA與雙向交流三階段。
204,113學年度學士生先修碩士班課程（學碩一貫）簡章：5月2日至5月31日受理申請，甄選大三在學生至多6名。
205,4/27線上QA座談報名倒數提醒：提醒4/26報名截止，邀請一階通過考生與家長把握機會線上提問。
206,AR眼動儀科研設備展示短片：女同學展示系所最新引進之 SOL 穿戴式 AR 眼動儀眼鏡與數據手機。
207,2024預見東吳台北場花絮片頭：科幻動態視覺回顧4月13日在外雙溪哲生樓舉辦之學系諮商博覽會。
208,2024預見東吳台北場學系諮商海報：4/13於哲生樓303教室提供一階通過考生諮商，附校園動線圖。
209,112學年度研究所錄取榜單（第一篇）：公布中央資工、台科大AI跨域、台科大財金及直升東吳資科碩士班榜單。
210,112學年度研究所錄取榜單（第二篇）：公布張芷晴（成大/中山/台科/中興四榜）、葉皓允（中央三冠）、李宥辰、詹于頡商管四榜。
211,112學年度研究所頂尖名校榜單（第三篇）：公布李承彥（台大數據）、蘇子恩（台大數據）、劉宸瑋（清大/成大/台科/交大四榜）、鄭孟恒（政大/台科/中正）。
212,4/27線上QA座談最終動員海報：呼籲考生把握4/26截止前報名4/27線上座談。
213,優秀系友林家瑋專訪（第一頁）：108級系友、現任微星科技高級軟體工程師，分享五年一貫學程與微星實習存貨最佳化實戰。
214,優秀系友林家瑋專訪（第二頁）：分享在勤業眾信審計部與台新金控實習經歷，勉勵後輩「選你所愛，愛你所選」。
215,全新教學設備發表：引進「Kebbi Air S」智慧服務機器人，升級AI人機互動教學硬體。
216,多媒體資料檢索講座課堂：講師板書示範 Jetson 連線、Docker 容器與多媒體影音向量檢索演算法。
217,馬來西亞校友海外報導剪報：報導大馬校友會關懷僑生、系所無私輔導進入國際外商之歷程。
218,「打造專屬應用程式」Power Platform 工作坊：3/30-31於城中5216舉行，零基礎實作 Power Apps 打卡與 Power Automate 表單整理。
219,學雜費與住宿費補助懶人包：行政院定額減免每年3.5萬（資科日間生每期實繳38,490元）及校內住宿補貼每期5000-7000元。
220,企業徵才與學生校外實習合作邀請：向產業界拋出橄欖枝，建立大數據人才輸送管道。
221,三大前瞻人機互動新設備發表：展示SOL穿戴式AR眼動儀、荷蘭Xsens動作捕捉系統及黑色凱比機器人。
222,112-2 自主學習社群招募海報：鼓勵3-8人組隊申請數位科技與跨域學習社群，特優社群每人最高獲3,000元獎勵金。
223,113大學申請入學二階甄試重要日程：二階報名繳費(4/22-5/5)、面試(5/18-19)、東吳榜示(5/30)、分發放榜(6/13)。
224,Excel 資料分析國際認證考照工作坊：林志娟老師於4-5月城中校區主講密集考照課，通過者可領400元獎勵金。
225,金凱儀教授、吳政隆副教授榮獲國科會112年度「學術研究優秀人才」研究優良獎勵。
226,ColleGo! 2024 Open Day 宣傳：推廣教育部大學選才系統，引導探索學系核心素養。
